timestamp,mode,target,dataset,alpha,experiments,n_true_labels,method,gamma,mse,avg_ci_length,coverage_rate,execution_time,settings_key
20250912_235025,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,1000,PGAE,0.5,0.0006249731272388,0.0997444255950177,0.96,12.41291117668152,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=1000|gamma=0.5
20250912_235025,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,1000,Adaptive_PGAE,0.5,0.000745877476826,0.1099257324712117,0.96,7.285104990005493,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=1000|gamma=0.5
20250912_235025,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,1000,Active_Inference,0.5,0.0010972591828938,0.1061557480223371,0.94,2.1724021434783936,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=1000|gamma=0.5
20250912_235025,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,1000,Naive,0.5,0.000889616226367,0.1464513164512027,1.0,2.0999019145965576,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=1000|gamma=0.5
20250912_235151,mse-compare,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,1000,PGAE,0.5,0.0001943110124636,0.0486083469195152,0.94,14.751729011535645,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=1000|gamma=0.5
20250912_235151,mse-compare,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,1000,Adaptive_PGAE,0.5,0.0001970599790227,0.0514981578355861,0.9,8.180204153060913,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=1000|gamma=0.5
20250912_235151,mse-compare,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,1000,Active_Inference,0.5,0.0001824736284714,0.0513431971837488,0.94,2.2142488956451416,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=1000|gamma=0.5
20250912_235151,mse-compare,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,1000,Naive,0.5,0.0002294109917306,0.0686869080395973,0.98,2.4039618968963623,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=1000|gamma=0.5
20250912_235701,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,PGAE,0.5,0.0009120046990892,0.141799054368762,1.0,7.1394102573394775,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250912_235701,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0010545675310033,0.1440608239946306,0.94,4.510210037231445,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
