RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,LANG_PREF,SURVEYSTARTDATE,SURVEYENDDATE,BWAVE,BIDENT1_GEOSTRATA,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,INFRASPEND,MOREGUNIMPACT,GAMBLERESTR,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSEa,SMUSEb,SMUSEc,SMUSEd,SMUSEe,SMUSEf,SMUSEg,SMUSEh,SMUSEi,SMUSEj,SMUSEk,RADIO,GPT1,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACEMOD_1,RACEMOD_2,RACEMOD_3,RACEMOD_4,RACEMOD_5,RACEMOD_6,RACEMOD_99,RACEMOD_MIXEDOE,RACECMB,RACETHN,AGE,AGECAT,BIRTHPLACE,GENDER,MARITAL,EDUCATION,EDUCCAT,ADULTS,VOTED2020,VOTEGEN_POST,INC_SDT1,CREGION,DIVISION,METRO,BASEWT,WEIGHT,RACE_TEXT,ECON1MOD_FINETUNED,UNITY_FINETUNED,GPT1_FINETUNED,MOREGUNIMPACT_FINETUNED,GAMBLERESTR_FINETUNED
15320.0,2.0,2.0,,,,20240425,2.0,10.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,22.0,1.0,1.0,2.0,6.0,4.0,2.0,3.0,2.0,,4.0,3.0,7.0,1.0,2.3302107030605224,2.5059861901045446,"Hispanic, Other",3,2,3,1,2
5378.0,1.0,1.0,1.0,1.0,20240220.0,20240220,2.0,10.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,3.0,3.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,9.0,3.0,5.0,1.0,1.1651053515302612,1.43953400559226,"Not Hispanic, White",3,2,2,2,2
3736.0,2.0,1.0,,,,20240426,2.0,10.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,99.0,1.0,1.0,3.0,99.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,2.3302107030605224,2.692267403146199,"Not Hispanic, White",3,2,3,3,2
7787.0,1.0,1.0,1.0,1.0,20240303.0,20240303,2.0,10.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,28.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,,6.0,2.0,3.0,1.0,0.7767369010201741,1.4230787843237964,"Not Hispanic, Asian",3,2,1,1,2
17890.0,3.0,1.0,2.0,,20240222.0,20240222,2.0,9.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,80.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,5.0,4.0,8.0,1.0,2.677280307122148,1.8425909446940416,"Hispanic, White",3,2,3,1,2
7657.0,1.0,1.0,1.0,1.0,20240318.0,20240318,2.0,10.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.0,3.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,0.7767369010201741,0.6345947562448891,"Not Hispanic, White",3,2,2,2,2
7159.0,1.0,1.0,1.0,1.0,20240301.0,20240301,2.0,10.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,9.0,3.0,2.0,6.0,6.0,4.0,7.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,2.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,2.0,9.0,4.0,9.0,1.0,0.7767369010201741,0.6797808033143353,"Not Hispanic, White",2,2,1,1,2
8815.0,2.0,2.0,,,,20240513,2.0,6.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,99.0,99.0,99.0,99.0,1.0,99.0,99.0,99.0,99.0,99.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,65.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,,99.0,4.0,9.0,1.0,0.8669544178160234,0.9623115245814008,"Hispanic, White",3,2,3,1,2
5391.0,1.0,2.0,2.0,2.0,20240220.0,20240220,2.0,7.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,1.0,99.0,1.0,6.0,4.0,2.0,4.0,2.0,,1.0,3.0,7.0,1.0,0.1924502856502699,0.7249159213146064,"Not Hispanic, White",3,2,1,2,2
17353.0,2.0,1.0,,,,20240506,2.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,63.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.8521032852259376,2.263345207332094,"Not Hispanic, Black",3,2,3,1,2
