RESPID,EDUCATION,EDUCATION_TEXT,CARBONTAX,CLEANENERGY,CLEANELEC,MEDICAREALL,PUBLICOPTION,IMMIGRATION,FAMILYLEAVE,WEALTHTAX,DEPORTATIONS,MEDICVOUCHER,CARBONTAX_LLM,CLEANENERGY_LLM,CLEANELEC_LLM,MEDICAREALL_LLM,PUBLICOPTION_LLM,IMMIGRATION_LLM,FAMILYLEAVE_LLM,WEALTHTAX_LLM,DEPORTATIONS_LLM,MEDICVOUCHER_LLM
pid_1,3,"Some college, no degree",2,4,3,1,4,4,4,2,4,3,4,5,4,4,4,4,4,4,2,1
pid_2,3,"Some college, no degree",4,4,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,1,1
pid_3,3,"Some college, no degree",4,2,3,4,3,4,2,3,4,2,2,4,4,4,4,4,4,4,4,2
pid_4,5,College graduate/some postgrad,4,5,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,1,1
pid_5,3,Associate's degree,3,5,3,1,5,1,5,5,5,5,2,2,2,2,4,2,4,4,4,2
pid_6,3,"Some college, no degree",4,3,5,4,5,4,5,5,3,4,4,4,4,4,4,4,5,4,2,2
pid_7,5,College graduate/some postgrad,5,5,5,5,3,3,5,4,4,5,5,5,5,5,5,5,5,5,1,1
pid_8,5,Postgraduate,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1
pid_9,5,Postgraduate,4,4,3,4,4,3,4,3,5,4,5,5,5,5,5,5,5,5,1,1
pid_10,3,"Some college, no degree",5,4,5,4,4,3,4,3,3,5,5,5,5,5,5,5,5,5,1,1
pid_11,3,Associate's degree,5,5,5,5,4,5,5,5,1,1,2,4,2,1,2,2,4,1,5,4
pid_12,5,Postgraduate,3,4,3,4,4,5,5,4,4,3,4,5,4,2,1,4,4,1,4,4
pid_13,3,"Some college, no degree",3,3,2,2,4,2,4,3,5,4,5,5,5,4,4,4,5,4,2,1
pid_14,5,College graduate/some postgrad,4,5,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,5,1,1
pid_15,3,Associate's degree,1,1,1,1,1,1,3,1,5,4,5,5,5,2,4,4,4,2,4,4
pid_16,3,"Some college, no degree",5,5,5,5,5,5,5,5,2,4,1,2,2,2,4,2,4,2,4,4
pid_17,5,College graduate/some postgrad,4,3,4,5,5,5,4,4,2,3,5,5,5,5,5,5,5,5,1,1
pid_18,5,College graduate/some postgrad,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,1,1
pid_19,5,Postgraduate,2,2,3,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,1,1
pid_20,5,Postgraduate,2,2,4,4,4,4,4,1,5,4,2,2,2,1,1,2,2,1,4,4
pid_21,5,Postgraduate,5,4,4,5,4,5,5,5,3,5,2,4,2,2,2,4,4,2,4,4
pid_22,5,College graduate/some postgrad,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,1,1
pid_23,5,College graduate/some postgrad,5,5,5,5,5,5,5,5,1,5,4,4,4,4,5,5,4,4,2,2
pid_24,2,High school graduate,5,5,5,5,5,5,5,5,3,4,1,1,1,1,1,1,2,1,5,5
pid_25,2,High school graduate,5,5,5,5,4,5,5,5,1,1,2,4,2,2,4,4,4,4,4,2
pid_26,5,Postgraduate,4,4,4,4,4,4,4,4,3,3,5,5,5,5,5,5,5,5,1,1
pid_27,3,"Some college, no degree",5,4,5,5,5,5,5,5,3,5,3,4,4,5,5,5,5,4,1,1
pid_28,5,Postgraduate,4,3,4,4,5,5,5,5,4,3,4,5,5,5,5,5,5,5,1,1
pid_29,2,High school graduate,4,4,4,3,5,5,5,5,3,5,4,5,5,5,5,5,5,5,1,1
pid_30,5,College graduate/some postgrad,3,2,3,1,1,1,5,4,5,3,4,5,4,4,4,4,4,4,2,2
pid_31,5,College graduate/some postgrad,5,4,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,1,1
pid_32,2,High school graduate,5,4,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,1,1
pid_33,5,College graduate/some postgrad,4,3,4,5,5,5,5,5,1,4,4,5,4,5,5,5,5,5,1,1
pid_34,2,High school graduate,4,4,4,4,4,4,4,4,4,3,1,2,2,4,4,4,4,4,2,4
pid_35,5,Postgraduate,2,4,4,5,3,4,5,4,2,4,1,4,2,1,2,4,4,1,4,4
pid_36,5,College graduate/some postgrad,3,5,5,5,4,5,5,3,5,4,5,5,5,5,5,5,5,5,1,1
pid_37,3,"Some college, no degree",4,5,5,5,4,5,5,4,1,1,5,5,5,5,5,5,5,5,1,1
pid_38,2,High school graduate,1,1,1,1,1,1,1,5,1,3,1,2,1,1,2,2,4,1,5,4
pid_39,3,"Some college, no degree",5,4,5,5,3,5,5,5,1,3,1,4,1,1,2,2,2,1,4,5
pid_40,3,Associate's degree,2,2,1,1,2,3,1,1,4,2,2,2,2,1,2,2,2,1,5,5
pid_41,5,College graduate/some postgrad,4,5,5,4,4,5,5,3,3,4,2,4,2,2,2,2,2,2,4,4
pid_42,5,Postgraduate,2,2,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,2,1
